bundesland,datum,anzahlfall
Baden-Württemberg,31jan2020,1
Baden-Württemberg,03feb2020,1
Baden-Württemberg,04feb2020,1
Baden-Württemberg,10feb2020,1
Baden-Württemberg,13feb2020,1
Baden-Württemberg,14feb2020,3
Baden-Württemberg,17feb2020,2
Baden-Württemberg,18feb2020,3
Baden-Württemberg,19feb2020,3
Baden-Württemberg,20feb2020,1
Baden-Württemberg,21feb2020,5
Baden-Württemberg,22feb2020,2
Baden-Württemberg,23feb2020,7
Baden-Württemberg,24feb2020,8
Baden-Württemberg,25feb2020,18
Baden-Württemberg,26feb2020,24
Baden-Württemberg,27feb2020,15
Baden-Württemberg,28feb2020,38
Baden-Württemberg,29feb2020,37
Baden-Württemberg,01mar2020,40
Baden-Württemberg,02mar2020,56
Baden-Württemberg,03mar2020,80
Baden-Württemberg,04mar2020,96
Baden-Württemberg,05mar2020,117
Baden-Württemberg,06mar2020,164
Baden-Württemberg,07mar2020,163
Baden-Württemberg,08mar2020,249
Baden-Württemberg,09mar2020,433
Baden-Württemberg,10mar2020,548
Baden-Württemberg,11mar2020,700
Baden-Württemberg,12mar2020,726
Baden-Württemberg,13mar2020,863
Baden-Württemberg,14mar2020,827
Baden-Württemberg,15mar2020,855
Baden-Württemberg,16mar2020,1106
Baden-Württemberg,17mar2020,1016
Baden-Württemberg,18mar2020,1072
Baden-Württemberg,19mar2020,902
Baden-Württemberg,20mar2020,1072
Baden-Württemberg,21mar2020,833
Baden-Württemberg,22mar2020,708
Baden-Württemberg,23mar2020,963
Baden-Württemberg,24mar2020,795
Baden-Württemberg,25mar2020,813
Baden-Württemberg,26mar2020,797
Baden-Württemberg,27mar2020,855
Baden-Württemberg,28mar2020,781
Baden-Württemberg,29mar2020,660
Baden-Württemberg,30mar2020,918
Baden-Württemberg,31mar2020,794
Baden-Württemberg,01apr2020,869
Baden-Württemberg,02apr2020,813
Baden-Württemberg,03apr2020,815
Baden-Württemberg,04apr2020,601
Baden-Württemberg,05apr2020,477
Baden-Württemberg,06apr2020,600
Baden-Württemberg,07apr2020,560
Baden-Württemberg,08apr2020,570
Baden-Württemberg,09apr2020,630
Baden-Württemberg,10apr2020,514
Baden-Württemberg,11apr2020,618
Baden-Württemberg,12apr2020,377
Baden-Württemberg,13apr2020,346
Baden-Württemberg,14apr2020,331
Baden-Württemberg,15apr2020,410
